ID,IC,FII,body_part,dry_weight
154,0.25,73,drytotal,14.05
155,0.25,56,drythor,4.8
155,0.25,56,dryrest,5.22
155,0.25,56,drytotal,10.02
156,0.25,91,drythor,4.3
156,0.25,91,dryrest,4.75
156,0.25,91,drytotal,9.05
157,0.25,41,drythor,4.9
157,0.25,41,dryrest,4.7
157,0.25,41,drytotal,9.600000000000001
158,0.25,69,drythor,5.44
158,0.25,69,dryrest,4.68
158,0.25,69,drytotal,10.120000000000001
159,0.25,67,drythor,4.76
159,0.25,67,dryrest,5.15
159,0.25,67,drytotal,9.91
161,0.25,48,drythor,6.06
161,0.25,48,dryrest,9.05
161,0.25,48,drytotal,15.11
162,0.25,39,drythor,5
162,0.25,39,dryrest,7.62
162,0.25,39,drytotal,12.620000000000001
163,0.25,22,drythor,6.39
163,0.25,22,dryrest,8.42
163,0.25,22,drytotal,14.809999999999999
164,0.25,23,drythor,6.11
164,0.25,23,dryrest,7.4
164,0.25,23,drytotal,13.510000000000002
166,0.25,38,drythor,5.83
166,0.25,38,dryrest,11.36
166,0.25,38,drytotal,17.189999999999998
167,0.25,35,drythor,4.94
167,0.25,35,dryrest,9.3
167,0.25,35,drytotal,14.240000000000002
168,0.25,76,drythor,5.03
168,0.25,76,dryrest,6.49
168,0.25,76,drytotal,11.52
169,0.25,47,drythor,5.6
169,0.25,47,dryrest,9.45
169,0.25,47,drytotal,15.049999999999999
170,0.25,58,drythor,5.23
170,0.25,58,dryrest,6.73
170,0.25,58,drytotal,11.96
171,0.25,84,drythor,5.83
171,0.25,84,dryrest,6.11
171,0.25,84,drytotal,11.940000000000001
172,0.25,31,drythor,5.97
172,0.25,31,dryrest,9.16
172,0.25,31,drytotal,15.129999999999999
173,0.25,72,drythor,4.87
173,0.25,72,dryrest,5.09
173,0.25,72,drytotal,9.96
174,0.25,77,drythor,5.13
174,0.25,77,dryrest,6.2
174,0.25,77,drytotal,11.33
175,0.375,56,drythor,5.36
175,0.375,56,dryrest,8.35
175,0.375,56,drytotal,13.71
176,0.375,37,drythor,5.07
176,0.375,37,dryrest,7.13
176,0.375,37,drytotal,12.2
177,0.375,43,drythor,5.87
177,0.375,43,dryrest,9.55
177,0.375,43,drytotal,15.420000000000002
178,0.375,90,drythor,4.75
178,0.375,90,dryrest,7.18
178,0.375,90,drytotal,11.93
179,0.375,52,drythor,4.82
179,0.375,52,dryrest,9.21
179,0.375,52,drytotal,14.030000000000001
180,0.375,73,drythor,5.22
180,0.375,73,dryrest,6.36
180,0.375,73,drytotal,11.58
181,0.375,75,drythor,4.94
181,0.375,75,dryrest,7.14
181,0.375,75,drytotal,12.08
182,0.375,55,drythor,4.66
182,0.375,55,dryrest,6.71
182,0.375,55,drytotal,11.370000000000001
183,0.375,47,drythor,5.05
183,0.375,47,dryrest,6
183,0.375,47,drytotal,11.05
184,0.375,32,drythor,5.11
184,0.375,32,dryrest,8.83
184,0.375,32,drytotal,13.940000000000001
185,0.375,64,drythor,4.61
185,0.375,64,dryrest,5.67
185,0.375,64,drytotal,10.280000000000001
186,0.375,83,drythor,3.64
186,0.375,83,dryrest,4.33
186,0.375,83,drytotal,7.970000000000001
187,0.25,28,drythor,5.52
187,0.25,28,dryrest,6.6
187,0.25,28,drytotal,12.12
188,0.25,25,drythor,4.43
188,0.25,25,dryrest,5.4
188,0.25,25,drytotal,9.83
189,0.25,23,drythor,5.24
189,0.25,23,dryrest,5.57
189,0.25,23,drytotal,10.81
190,0.25,22,drythor,5.19
190,0.25,22,dryrest,5.29
190,0.25,22,drytotal,10.48
191,0.25,27,drythor,5.93
191,0.25,27,dryrest,5.82
191,0.25,27,drytotal,11.75
192,0.25,44,drythor,5.1
192,0.25,44,dryrest,5.59
192,0.25,44,drytotal,10.69
194,0.25,46,drythor,6.54
194,0.25,46,dryrest,6.85
194,0.25,46,drytotal,13.39
195,0.25,27,drythor,5.05
195,0.25,27,dryrest,4.8
195,0.25,27,drytotal,9.85
196,0.25,23,drythor,5.82
196,0.25,23,dryrest,5.71
196,0.25,23,drytotal,11.530000000000001
197,0.25,64,drythor,5.36
197,0.25,64,dryrest,4.68
197,0.25,64,drytotal,10.04
198,0.25,73,drythor,5.67
198,0.25,73,dryrest,4.32
198,0.25,73,drytotal,9.99
199,0.25,26,drythor,5.15
199,0.25,26,dryrest,4.78
199,0.25,26,drytotal,9.93
200,0.25,37,drythor,4.89
200,0.25,37,dryrest,4.54
200,0.25,37,drytotal,9.43
201,0.25,35,drythor,5.73
201,0.25,35,dryrest,5.36
201,0.25,35,drytotal,11.09
202,0.25,25,drythor,5.84
202,0.25,25,dryrest,4.85
202,0.25,25,drytotal,10.69
203,0,45,drythor,6.25
203,0,45,dryrest,6.71
203,0,45,drytotal,12.96
204,0,61,drythor,5.86
204,0,61,dryrest,7.81
204,0,61,drytotal,13.67
205,0,50,drythor,5.83
205,0,50,dryrest,5.98
205,0,50,drytotal,11.81
206,0,31,drythor,4.31
206,0,31,dryrest,4.95
206,0,31,drytotal,9.26
207,0,24,drythor,6.03
207,0,24,dryrest,5.6
207,0,24,drytotal,11.629999999999999
208,0,45,drythor,5.43
208,0,45,dryrest,5.95
208,0,45,drytotal,11.379999999999999
209,0,46,drythor,5.56
209,0,46,dryrest,5.97
209,0,46,drytotal,11.53
210,0,41,drythor,5.95
210,0,41,dryrest,6.63
210,0,41,drytotal,12.58
211,0,64,drythor,5.23
211,0,64,dryrest,4.79
211,0,64,drytotal,10.02
212,0,30,drythor,5.6
212,0,30,dryrest,5.5
212,0,30,drytotal,11.1
213,0,62,drythor,5.31
213,0,62,dryrest,4.86
213,0,62,drytotal,10.17
214,0,54,drythor,5.02
214,0,54,dryrest,4.38
214,0,54,drytotal,9.399999999999999
215,0,50,drythor,4.91
215,0,50,dryrest,6.11
215,0,50,drytotal,11.02
216,0,34,drythor,5.71
216,0,34,dryrest,5.99
216,0,34,drytotal,11.7
217,0,50,drythor,5.64
217,0,50,dryrest,7.66
217,0,50,drytotal,13.3
218,0,29,drythor,5.43
218,0,29,dryrest,5.89
218,0,29,drytotal,11.32
219,0,49,drythor,5.71
219,0,49,dryrest,4.72
219,0,49,drytotal,10.43
220,0,52,drythor,4.71
220,0,52,dryrest,5.02
220,0,52,drytotal,9.73
221,0.375,33,drythor,4.86
221,0.375,33,dryrest,4.5
221,0.375,33,drytotal,9.36
222,0.375,46,drythor,4.19
222,0.375,46,dryrest,3.97
222,0.375,46,drytotal,8.16
223,0.375,34,drythor,4.24
223,0.375,34,dryrest,3.79
223,0.375,34,drytotal,8.030000000000001
224,0.375,26,drythor,5.27
224,0.375,26,dryrest,5.03
224,0.375,26,drytotal,10.3
225,0.375,53,drythor,5.35
225,0.375,53,dryrest,6.08
225,0.375,53,drytotal,11.43
227,0.375,44,drythor,4.78
227,0.375,44,dryrest,5.61
227,0.375,44,drytotal,10.39
228,0.375,29,drythor,4.62
228,0.375,29,dryrest,5.14
228,0.375,29,drytotal,9.76
229,0.375,28,drythor,5.19
229,0.375,28,dryrest,4.26
229,0.375,28,drytotal,9.45
230,0.375,47,drythor,5.17
230,0.375,47,dryrest,5.18
230,0.375,47,drytotal,10.35
231,0.375,74,drythor,4.99
231,0.375,74,dryrest,6.62
231,0.375,74,drytotal,11.61
232,0.375,66,drythor,5.24
232,0.375,66,dryrest,5.7
232,0.375,66,drytotal,10.940000000000001
233,0.375,77,drythor,5.88
233,0.375,77,dryrest,5.04
233,0.375,77,drytotal,10.92
235,0.375,40,drythor,5.07
235,0.375,40,dryrest,7.94
235,0.375,40,drytotal,13.010000000000002
236,0.375,29,drythor,4.26
236,0.375,29,dryrest,7.77
236,0.375,29,drytotal,12.03
237,0.375,30,drythor,5.06
237,0.375,30,dryrest,9
237,0.375,30,drytotal,14.059999999999999
238,0.375,44,drythor,5
238,0.375,44,dryrest,7.27
238,0.375,44,drytotal,12.27
239,0.375,29,drythor,5.81
239,0.375,29,dryrest,8.78
239,0.375,29,drytotal,14.59
240,0.375,48,drythor,5.74
240,0.375,48,dryrest,8.11
240,0.375,48,drytotal,13.85
241,0.375,57,drythor,5.95
241,0.375,57,dryrest,11.41
241,0.375,57,drytotal,17.36
242,0.375,65,drythor,5.08
242,0.375,65,dryrest,9.75
242,0.375,65,drytotal,14.83
243,0.375,62,drythor,3.21
243,0.375,62,dryrest,2.89
243,0.375,62,drytotal,6.1
244,0.375,57,drythor,3.52
244,0.375,57,dryrest,6.53
244,0.375,57,drytotal,10.05
245,0.375,51,drythor,4.64
245,0.375,51,dryrest,8.81
245,0.375,51,drytotal,13.45
246,0.375,53,drythor,4.86
246,0.375,53,dryrest,8.73
246,0.375,53,drytotal,13.59
247,0.375,61,drythor,5.11
247,0.375,61,dryrest,8.52
247,0.375,61,drytotal,13.629999999999999
248,0.375,56,drythor,5.47
248,0.375,56,dryrest,7.89
248,0.375,56,drytotal,13.36
249,0.25,32,drythor,5.69
249,0.25,32,dryrest,9.05
249,0.25,32,drytotal,14.740000000000002
250,0.25,46,drythor,4.25
250,0.25,46,dryrest,8.81
250,0.25,46,drytotal,13.06
251,0.25,47,drythor,5.23
251,0.25,47,dryrest,7.57
251,0.25,47,drytotal,12.8
253,0.25,32,drythor,5.48
253,0.25,32,dryrest,8.79
253,0.25,32,drytotal,14.27
255,0.25,36,drythor,6.14
255,0.25,36,dryrest,7.8
255,0.25,36,drytotal,13.94
256,0.25,46,drythor,5.36
256,0.25,46,dryrest,6.62
256,0.25,46,drytotal,11.98
257,0.25,54,drythor,5.57
257,0.25,54,dryrest,6.64
257,0.25,54,drytotal,12.21
258,0.25,40,drythor,4.42
258,0.25,40,dryrest,4.2
258,0.25,40,drytotal,8.620000000000001
259,0.25,25,drythor,5.44
259,0.25,25,dryrest,12.25
259,0.25,25,drytotal,17.69
260,0.25,35,drythor,4.89
260,0.25,35,dryrest,9.6
